block,censuscode,district,dt_cen_cd,st_cen_cd,st_nm,bl_cen_cd
Meskaur,237,Nawada,35,10,Bihar,510
Sirdala,237,Nawada,35,10,Bihar,511
Rajauli,237,Nawada,35,10,Bihar,512
Islamnagar Aliganj,238,Jamui,36,10,Bihar,513
Sikandra,238,Jamui,36,10,Bihar,514
Jamui,238,Jamui,36,10,Bihar,515
Barhat,238,Jamui,36,10,Bihar,516
Lakshmipur,238,Jamui,36,10,Bihar,517
Jhajha,238,Jamui,36,10,Bihar,518
Gidhaur,238,Jamui,36,10,Bihar,519
Khaira,238,Jamui,36,10,Bihar,520
Sono,238,Jamui,36,10,Bihar,521
Chakai,238,Jamui,36,10,Bihar,522
Ratni Faridpur,239,Jehanabad,37,10,Bihar,523
Jehanabad,239,Jehanabad,37,10,Bihar,524
Kako,239,Jehanabad,37,10,Bihar,525
Modanganj,239,Jehanabad,37,10,Bihar,526
Ghoshi,239,Jehanabad,37,10,Bihar,527
Makhdumpur,239,Jehanabad,37,10,Bihar,528
Hulasganj,239,Jehanabad,37,10,Bihar,529
Arwal,240,Arwal,38,10,Bihar,530
Kaler,240,Arwal,38,10,Bihar,531
Karpi,240,Arwal,38,10,Bihar,532
Sonbhadra Banshi Suryapur,240,Arwal,38,10,Bihar,533
Kurtha,240,Arwal,38,10,Bihar,534
