DIST_NAME,PERIMETER,INDIAASSEM,INDIAASS,ST_CODE,AC_NAME,AC_TYPE,PC_NO,ac_no,Longitude,Latitude,State,PC_NAME,PC_TYPE,PC_CODE
Kachchh,0.074,1908,6006,S06,Rapar,GEN,1,6,70.6602618413,23.5841082276,Gujarat,Kutch,GEN,S0601
Kachchh,0.414,1914,6001,S06,Abdasa,GEN,1,1,68.8761417907,23.453670163,Gujarat,Kutch,GEN,S0601
Sabar Kantha,0.128,1921,6104,S06,Idar,SC,15,104,72.9950416115,23.8624411383,Gujarat,Sabarkantha,GEN,S0615
Mahesana,0.13,1939,6088,S06,Unjha,GEN,13,88,72.5638864035,23.790720205,Gujarat,Mehsana,GEN,S0612
Patan,0.119,1944,6091,S06,Patan,GEN,13,91,72.2018230938,23.7609025329,Gujarat,Patan,SC,S0613
Patan,0.201,1946,6093,S06,Sami,GEN,13,93,71.7749377409,23.6489067586,Gujarat,Patan,SC,S0613
Sabar Kantha,0.184,1958,6105,S06,Bhiloda,GEN,15,105,73.2842997544,23.7298320218,Gujarat,Sabarkantha,GEN,S0615
Mahesana,0.121,1978,6086,S06,Visnagar,GEN,12,86,72.5536036755,23.6730857386,Gujarat,Mehsana,GEN,S0612
Mahesana,0.116,1988,6092,S06,Chanasma,GEN,13,92,72.1397793251,23.5945861328,Gujarat,Patan,SC,S0613
Mahesana,0.126,1990,6085,S06,Vijapur,GEN,12,85,72.750686753,23.6058118111,Gujarat,Mehsana,GEN,S0612
Sabar Kantha,0.131,2006,6106,S06,Himatnagar,GEN,15,106,73.0581294105,23.5917646917,Gujarat,Sabarkantha,GEN,S0615
Mahesana,0.118,2011,6083,S06,Mehsana,GEN,12,83,72.4733363461,23.531609153,Gujarat,Mehsana,GEN,S0612
Mahesana,0.14,2027,6082,S06,Jotana,SC,12,82,72.3567333695,23.4538607171,Gujarat,Mehsana,GEN,S0612
Sabar Kantha,0.182,2029,6110,S06,Meghraj,GEN,16,110,73.5191962811,23.4029738867,Gujarat,Kapadvanj,GEN,S0616
Kachchh,0.227,2032,6005,S06,Anjar,GEN,1,5,70.2108912717,23.2498859222,Gujarat,Kutch,GEN,S0601
Sabar Kantha,0.144,2040,6108,S06,Modasa,GEN,15,108,73.3254734001,23.4399522097,Gujarat,Sabarkantha,GEN,S0615
Surendranagar,0.326,2045,6007,S06,Dasada,SC,2,7,71.8189524299,23.1603027029,Gujarat,Surendranagar,GEN,S0602
Mahesana,0.08,2047,6084,S06,Mansa,GEN,12,84,72.718729873,23.4498456781,Gujarat,Mehsana,GEN,S0612
Ahmadabad,0.173,2053,6062,S06,Mandal,GEN,9,62,72.1026925569,23.298504589,Gujarat,Dhandhuka,SC,S0609
Sabar Kantha,0.158,2055,6107,S06,Prantij,GEN,16,107,72.9642175974,23.3966876812,Gujarat,Kapadvanj,GEN,S0616
Gandhinagar,0.124,2079,6080,S06,Kalol,GEN,12,80,72.571600734,23.294736984,Gujarat,Gandhinagar,GEN,S0611
Sabar Kantha,0.159,2084,6109,S06,Bayad,GEN,16,109,73.1952463277,23.2135692984,Gujarat,Kapadvanj,GEN,S0616
Panchtaluks,0.154,2085,6122,S06,Lunavada,GEN,18,122,73.6541405682,23.1946808041,Gujarat,Godhra,GEN,S0618
Kachchh,0.204,2086,6002,S06,Mandvi,GEN,1,2,69.3186744923,22.9838741917,Gujarat,Kutch,GEN,S0601
